newid,Undergrad School,Master's Degree School
402754,Renmin University Of China In Beijing,Renmin University Of China In Beijing
712876,Fudan University,"NA"
596796,Cornell University,"NA"
740834,"NA","NA"
775102,Katholieke Universiteit Leuven,Universidad Pompeu Fabra
254864,Instituto TecnolÃ³gico AutÃ³nomo de MÃ©xico (ITAM),"NA"
821864,University of British Columbia,"NA"
45807,Universita Bocconi,Universita Bocconi
21880,LUISS Guido Carli University,Universita Bocconi
639207,IBMEC,University of Illinois at Urbana-Champaign
227464,Hebrew University Of Jerusalem,"NA"
533690,Auburn University Main Campus,"NA"
579778,Dartmouth College,"NA"
174196,Cornell College,"NA"
800393,University Of Melbourne,"NA"
88302,Peking University,"NA"
314781,University Of Warwick,Stanford University
149932,Nanjing University,Nanjing University
669318,University Of Tokyo,University Of Tokyo
703020,University Of Oxford-St. Catharine's College,University Of Oxford-Nuffield College
705184,Ohio Wesleyan University,"NA"
3080,University Of Waterloo,"NA"
183859,University Of Cambridge,University of London-London School of Economics & Political Sci
99071,College Of Charleston,"NA"
351864,Cornell University,"NA"
755537,Swarthmore College,"NA"
162646,Gonzaga University,"NA"
581616,Tsinghua University,"NA"
906076,Shanghai University Of Finance And Economics,University of Illinois at Urbana-Champaign
916181,Muhlenberg College,"NA"
981007,Soka University of America,Yale University
367574,Sung Kyun Kwan University,"NA"
949303,University of Minnesota-Twin Cities,"NA"
133573,Instituto Tecnologico Autonomo de Mexico ITAM,Instituto Tecnologico Autonomo de Mexico ITAM
60173,"University Of California, Irvine",University Of Oxford
242938,Indiana University Bloomington,"NA"
830113,Brigham Young University,"NA"
161057,International Academy of Business,"Korea Development Institute, School of Pub. Policy & Management"
676066,Universidad De Los Andes,Universidad De Los Andes
161120,Gettysburg College,DePaul University
710851,Columbia University,University Of Oxford
771537,University Of Hong Kong,Toulouse School of Economics
686288,Technical University Berlin,"NA"
87949,Fudan University,Fudan University
384598,Universidad De Costa Rica,Universidad De Costa Rica
924758,University Of Manchester,"NA"
240263,Yale University,"NA"
579608,University Of North Carolina At Chapel Hill,"NA"
162728,Universidad Torcuato Di Tella,Universidad Torcuato Di Tella
580085,University Of Chicago,"NA"
150897,Maharaja Sayajirau University Of Baroda,Indira Gandhi National Open University
687768,Amherst College,"NA"
960791,University Of Mannheim,Boston University
234662,University Of Michigan--Ann Arbor,University Of Michigan--Ann Arbor
382330,Tufts University,"NA"
140107,University Of Tokyo,Ohio State University
763801,Universidad Nacional De Colombia,El Colegio De Mexico
651014,University Of North Carolina At Chapel Hill,George Washington University
74711,Peking University,Cornell University
504300,Tongji University,University Of Michigan--Ann Arbor
139780,University of Geneva,University of London-London School of Economics & Political Sci
708634,Augsburg College,"NA"
572175,New York University,"NA"
932047,Universidade Federal De Minas Gerais,Fundacao Gertulio Vargas
795333,Stanford University,"NA"
971445,Universite Pierre Et Marie Curie (paris Vi),Yale University
558928,National Taiwan University,"NA"
799064,Pontificia Universidad Catolica De Chile,Pontificia Universidad Catolica De Chile
495829,Tsinghua University,"NA"
298140,Columbia University,"NA"
28705,University Of Virginia,"NA"
566910,University Of Georgia,"NA"
143109,Tsinghua University,Tsinghua University
659714,University Of Maryland At College Park,"NA"
446109,Rhodes College,"NA"
119965,University Of Texas At Austin,"NA"
240506,"NA",University Of Oxford
418150,Seoul National University,Harvard University
49738,Massachusetts Institute of Technology,"NA"
625035,Massachusetts Institute of Technology,"NA"
739865,University Of Chicago,"NA"
219,University Of Kentucky,"NA"
725437,Washington University in St. Louis,Duke University
402233,Georgetown University,"NA"
352196,Karl-Franzens-Universitat Graz,Harvard University
333045,Seoul National University,"NA"
774608,Universita Bocconi,University of London-London School of Economics & Political Sci
501649,Universita degli Studi di Roma 'La Sapienza',"NA"
74451,Aoyama Gakuin University,Oklahoma State University--Main Campus
487896,"University Of California, San Diego","NA"
571244,Universidad Nacional De La Plata,Universidad Nacional De La Plata
354941,Peking University,"NA"
922141,University Of Chicago,"NA"
490333,Robert Morris University,"NA"
731870,Michigan State University,"NA"
544588,University of Minnesota-Twin Cities,"NA"
241694,Sogang Univesity,Seoul National University
638162,Universidad De Buenos Aires,Universidad Torcuato Di Tella
539407,Hebrew University Of Jerusalem,Hebrew University Of Jerusalem
121108,"University Of Maryland, Baltimore County","University Of Maryland, Baltimore County"
535062,Instituto Tecnologico Autonomo De Mexico,Instituto Tecnologico Autonomo De Mexico
991312,Victoria University Of Technology,Peking University
375751,George Washington University,"NA"
841438,University Of Dallas,"NA"
485465,University Of Melbourne,University Of Melbourne
393175,Vassar College,"NA"
663885,Davidson College,"NA"
48259,College Of William And Mary In Virginia,"NA"
553097,Harvard College,University Of Cambridge-Trinity College
833406,University Of Maryland At College Park (umcp),New York University
407747,"University Of California, Irvine",University Of Oxford
971101,Universidad Catolica De Santiago,Tilburg University
897559,"University Of California, Davis","University Of California, Davis"
368913,"University Of California, Berkeley","NA"
343283,University Of Kentucky,"NA"
984570,Hanoi National University,University Of Leicester
208411,University Of Wisconsin-Madison,"NA"
783009,Ecole Centrale De Paris,Groupe HEC
491581,Vietnam National University,University Of Memphis
476902,Syracuse University,"NA"
970292,William Marsh Rice University,"NA"
171450,Macalester College,"NA"
546920,University of Minnesota-Twin Cities,"NA"
391718,Universidad Pompeu Fabra,Universidad Pompeu Fabra
536101,Tsinghua University,Tsinghua University
610427,Washington And Lee University,"NA"
933075,"University Of California, Berkeley","NA"
391534,George Washington University,"NA"
319808,"University Of California, Berkeley",Carnegie Mellon University
570463,Harvard University,"NA"
569182,University Of Texas At Austin,"NA"
236331,Victoria University Of Wellington,"NA"
787644,Cornell University,"NA"
563867,University Of North Carolina At Chapel Hill,"NA"
808929,Eidgenossische Technische Hochschule Zurich,University of London-London School of Economics & Political Sci
768170,Harvard College,University Of British Columbia
93607,National University of Singapore,National University of Singapore
435070,Korea University,Korea University
811427,University Of Michigan--Ann Arbor,"NA"
196409,Stanford University,"NA"
699707,Johns Hopkins University,"NA"
850900,Connecticut College,Brown University
554811,Universidad Nacional San Cristobal de Huamanga,Universidad Del Pacifico
347403,Colgate University,Georgia Institute Of Technology
76821,University Of Virginia,Stanford University
190934,University of Potsdam,University Of Wisconsin--Milwaukee
480582,Universita Bocconi,Universita Bocconi
400794,University Of Virginia,"NA"
938077,National Research University Higher School of Economics,"NA"
399936,International Islamic University,"NA"
243435,New York University,"NA"
991222,Brigham Young University,"NA"
452862,Claremont McKenna College,"NA"
881095,Emory University,"NA"
377061,"University Of California, Davis","NA"
766516,Hong Kong Polytechnic,"NA"
50010,Universidad Anahuac,Barcelona Graduate School of Economics
596235,Beijing Foreign Studies University,University Of Chicago
352670,Kalamazoo College,"NA"
65665,University of Brasilia,Fundacao Getulio Vargas
714468,Fudan University,"University Of California, Santa Barbara"
526009,University of Illinois at Urbana-Champaign,Johns Hopkins University
246880,University Of Chicago,"NA"
425670,University Of London-Royal Holloway College,University Of York
899428,Loyola Marymount University,"NA"
68555,Middle Tennessee State University,"NA"
881246,Shanghai Jiao Tong University,Purdue University
664828,Instituto TecnolÃ³gico AutÃ³nomo de MÃ©xico,"NA"
489875,National Taiwan University,Boston University
345173,Purdue University,"NA"
451747,Stanford University,Columbia University
400603,Columbia University,"NA"
92054,University Of Wisconsin-Madison,University Of Michigan--Ann Arbor
240357,Loyola University Of Chicago,"NA"
57307,Manipal Institute Of Technology,"NA"
971998,Seoul National University,Seoul National University
559586,Massachusetts Institute of Technology,Harvard University
826607,Chinese University Of Hong Kong,University Of Chicago
792895,Universidade Federal do Rio de Janeiro,"Graduate School Of Economics, Getulio Vargas Fndn."
412915,University Of Tehran,University of London-London School of Economics & Political Sci
981388,Universite Antilles,"NA"
623094,University Of Edinburgh,University Of Cambridge-Pembroke College
265123,Universidad Carlos Iii De Madrid,"NA"
602814,University Of North Carolina At Chapel Hill,"NA"
1672,Northwestern University,"NA"
887546,Instituto Tecnologico Autonomo de Mexico (ITAM),Instituto Tecnologico Autonomo de Mexico (ITAM)
948841,Academy of National Economy under the Russian Government,New Economic School
454079,Northwestern University,"NA"
906749,Seoul National University,Seoul National University
117425,University Of Michigan--Ann Arbor,"NA"
10407,Harvard College,"NA"
28755,Dnipropetrovs'k National University,Kent State University
318397,Loyola University New Orleans,"NA"
669631,University Of Tokyo,University Of Tokyo
209780,Universidad De Montevideo,"NA"
660266,University Of Hong Kong,Hong Kong University Of Science And Technology
282096,Ludwig-Maximillians-Universitat Munchen,Universidad Pompeu Fabra
709355,Harvard University,"NA"
629798,Loyola University New Orleans,"NA"
89397,Cornell University,Yale University
867120,Middle East Technical University,Bilkent University
405005,University of London-London School of Economics & Political Sci,University of London-London School of Economics & Political Sci
321070,University Of Maryland At College Park (umcp),"NA"
793265,Shri Ram College Of Commerce,University Of Delhi
491754,"University Of Michigan, Ann Arbor","NA"
710418,Sung Kyun Kwan University,"NA"
98771,Seoul National University,University Of Chicago
142292,Pomona College,"NA"
466150,Universita Cattolica Del Sacro Cuore,Barcelona Graduate School of Economics
355289,Fudan University,Duke University
733646,Luiss Guido Carli University,Universita Commerciale 'Luigi Bocconi'
677506,University Of Texas At Austin,"NA"
872105,University Of Warwick,"NA"
628605,Carnegie Mellon University,"NA"
395309,"NA",Universidad Pompeu Fabra
347865,Universiteit Maastricht,Universiteit Maastricht
82727,University Of Manchester,"NA"
957011,Texas State University,"NA"
710377,Universita Degli Studi Roma Tre,Universita degli Studi di Roma Tor Vergata (CIES)
994423,Amherst College,"NA"
458635,National Taiwan University,National Taiwan University
462153,College Of William And Mary In Virginia,"NA"
846017,Universite De Lausanne,Universite De Lausanne
917136,"University Of California, Berkeley","NA"
307681,Soka Univeristy of America,"NA"
168424,Fudan University,Stanford University
329941,"University Of California, Berkeley","NA"
242461,National Research University Higher School of Economics,New Economic School
122876,University Of Bergen,"NA"
919840,University Of Michigan--Ann Arbor,"NA"
395742,"NA",Ecole Centrale De Paris
99359,George Washington University,"NA"
215330,Mcmaster University,"NA"
769033,Korea University,"NA"
278246,Washington University in St. Louis,"NA"
32122,Middle East Technical University,Bilkent University
833033,University of London-London School of Economics & Political Sci,University of London-London School of Economics & Political Sci
203622,Zhejiang University,Tulane University
127139,Columbia University,"NA"
645796,Seoul National University,University Of Chicago
198569,Nanyang Technological University,"NA"
104339,Pennsylvania State University,"NA"
368551,Columbia University,"NA"
512351,Clemson University,Clemson University
960108,Seoul National University,Seoul National University
666645,Central University Of Finance And Economics,University of London-London School of Economics & Political Sci
983589,Tsinghua University,"NA"
109326,University Of Wyoming,University of London-London School of Economics & Political Sci
491474,Princeton University,"NA"
582651,Harvard College,"NA"
436880,Universite De Lausanne,Universite De Lausanne
982553,New York University,"NA"
721678,INSPER (Institute of Education and Research),Instituto De Matematica Pura E Aplicada
809112,University Of Hong Kong,"University Of California, Los Angeles"
36313,Princeton University,"NA"
15289,Dartmouth College,"NA"
40483,Central University Of Finance And Economics,Peking University
723942,Imperial College London,Paris School of Economics
227956,Stanford University,"NA"
821842,New York University,"NA"
67185,Cornell University,"NA"
558694,National Research University Higher School of Economics,"NA"
404738,"University Of California, Los Angeles",University of London-London School of Economics & Political Sci
506084,Yonsei University,Yonsei University
644362,Universidad Del Pacifico,Pontificia Universidad Catolica Del Peru
9093,Universidad Catolica Andres Bello,University Of Chicago
166549,Australian National University,"NA"
134170,Huhhot,Peking University
485850,Michigan State University,"NA"
454496,University Of Texas At Austin,"NA"
997466,University Of Hong Kong,Universite Des Sciences Sociales (toulouse I)
944298,Universita Degli Studi di Pisa,Universita Degli Studi di Pisa
429107,Vanguard University,Azusa Pacific University
656052,Michigan State University,"NA"
597649,Universidad De Concepcion,"NA"
900083,Universidad De Los Andes,Universidad De Los Andes
269129,Yale University,"NA"
739299,University Of New South Wales,"NA"
280414,Seoul National University,Seoul National University
33106,Jadavpur University,Jadavpur University
153069,Temple University,Temple University
249412,University of Calgary,"NA"
582255,University Of Nigeria,University Of Warwick
188535,Yale University,"NA"
963813,Washington University in St. Louis,"NA"
157205,University Of British Columbia,"NA"
185379,Georgetown University,"NA"
671943,University of Melbourne,"NA"
737767,Mount Holyoke College,"NA"
892843,Dartmouth College,"NA"
819891,University Of Chicago,"NA"
476017,Covenant College,"NA"
772310,Universita Degli Studi Di Firenze,Universita Commerciale 'luigi Bocconi'
486657,Warsaw School Of Economics,University of London-London School of Economics & Political Sci
97313,University Of Nebraska--Lincoln,University Of Nebraska--Lincoln
660152,Stanford University,Stanford University
695308,"University Of California, Berkeley","NA"
419698,Institut D'etudes Politiques,Institut D'etudes Politiques
498089,Cornell University,"NA"
542154,George Mason University,"NA"
136429,National Chung Hsing University,National Tsing Hua University
485677,Swarthmore College,"NA"
230632,Brown University,"NA"
882855,Universidad Nacional Mayor De San Marcos,Instituto TecnÃ³logico de MÃ©xico (ITAM)
719050,Oporto University,Universidad Pompeu Fabra
410770,Columbia University,"NA"
442240,Rheinische Friedrich-Wilhelms-Universitat Bonn,"NA"
678234,Norges Handelshoyskole,Duke University
640028,University of London-London School of Economics & Political Sci,University of London-London School of Economics & Political Sci
218281,East China University of Science and Technology,University Of Texas At Dallas
609653,University Of Melbourne,Universidad Pompeu Fabra
230958,Lebanese American University,Lebanese American University
768694,"Graduate School Of Economics, Getulio Vargas Fndn.","Graduate School Of Economics, Getulio Vargas Fndn."
900568,University Of Chicago,"NA"
541906,University of Cambridge,Harvard University
454840,Boston University,Boston University
430406,National Taiwan University,University of London-London School of Economics & Political Sci
366595,Trent University,"NA"
798158,"NA",University Of Oslo
249483,Zhejiang Gongshang University,Peking University
466725,University of Illinois at Urbana-Champaign,Arizona State University
151115,University of London,"NA"
317301,"NA",State University - Higher School of Economics
3725,Pomona College,"NA"
662127,Renmin University Of China In Beijing,Peking University
42122,Universidade Federal do Rio de Janeiro,"NA"
372984,Instituto Torcuato Di Tella,Instituto Torcuato Di Tella
205300,Johns Hopkins University,"NA"
836821,Fudan University,Universita Commerciale 'luigi Bocconi'
738401,Oberlin College,"NA"
389429,"Rutgers, The State Univerisity of New Jersey-New Brunswick","NA"
905849,Cornell University,"NA"
167181,Tsinghua University,"NA"
961622,National Research University Higher School of Economics,University Of Warwick
514625,Renmin University Of China In Beijing,"NA"
568795,Southwest University Of Finance & Economics,University Of Chicago
524727,University Of Miami,"NA"
786754,Brigham Young University,Brigham Young University
676591,Hanyang University,University of London-London School of Economics & Political Sci
839821,Hebrew University Of Jerusalem,Hebrew University Of Jerusalem
813651,Boston University,"NA"
632506,Instituto Tecnologico y de Estudios Superiores de Monterrey,"Rutgers, The State University Of New Jersey"
401814,Sharif University of Technology,Tufts University
507960,University Of Rochester,"NA"
463527,Swarthmore College,"NA"
368425,Universitat Wien,Institute for Advanced Studies
950824,Johann Wolfgang Goethe-Universitat Frankfurt,Barcelona Graduate School of Economics
418157,Renmin University of China,Institute Of Social Studies
667085,"University Of California, Berkeley","NA"
898567,Peking University,Peking University
438296,University Of Mannheim,University Of North Carolina At Charlotte
388986,University Of Minnesota--Minneapolis-St. Paul,"NA"
942122,Siena College,University Of Kent At Canterbury
313512,Seoul National University,Seoul National University
96263,National Economics University,University of London-London School of Economics & Political Sci
82456,Ferdowsi University of Mashhad,Ferdowsi University of Mashhad
817726,Universidade Nova De Lisboa,Universidade Nova De Lisboa
147073,Simon Fraser University,"NA"
224341,University Of Kansas,"NA"
205423,University Of Michigan--Ann Arbor,"NA"
383970,University of Minnesota-Twin Cities,"NA"
423132,University Of Sydney,"NA"
367564,Shanghai Jiao Tong University,San Francisco State University
99708,Brigham Young University,"NA"
303679,University Of Melbourne,"NA"
379154,Northwestern University,"NA"
353980,Tsinghua University,"NA"
169154,Tsinghua University,"NA"
256962,"NA",University of Oulu
614552,Vassar College,"NA"
668046,Tsinghua University,Tsinghua University
10337,Saint Louis University,"NA"
555826,Southern Illinois University--Edwardsville,"NA"
405214,Yonsei University,Yonsei University
274570,Seoul National University,"NA"
562859,Vassar College,"NA"
706278,University Of Chicago,New York University School of Law
279965,University Of Bayreuth,"NA"
376852,University of Bristol,University College London
298573,Sophia College for Women,University Of Leicester
899626,Wellesley College,"NA"
540033,Institut D'etudes Politiques,Institut D'etudes Politiques
795292,Birla Institute Of Technology & Science,"NA"
112513,Vanderbilt University,"NA"
31317,University Of Houston--University Park,University Of Wisconsin- Madison
232241,universidad de los andes,Universidad Alberto Hurtado
403777,University Of Chicago,"NA"
252317,Universidad Nacional De Cordoba,Universidad Torcuato Di Tella
307904,Fudan University,Duke University
85715,Seoul National University,Georgia State University
207067,Columbia University,"NA"
453771,New York University,Johns Hopkins Univ. Paul H. Nitze School of Adv. Int'l Studies
568935,Columbia University,"NA"
430903,Ohio State University,"NA"
670371,Thammasat University,"NA"
393978,"University Of California, Los Angeles","NA"
745089,University Of Pennsylvania,University Of Pennsylvania
490667,Sabanci University,University of London-London School of Economics & Political Sci
165956,University Of St Andrews,"NA"
464332,Tsinghua University,Tsinghua University
221535,University Of Nebraska,"NA"
995831,University Of Kentucky,"NA"
494310,Escola De Administracao De Empresas De Sao Paulo,University of York
497513,Universidade De Brasilia,"Graduate School Of Economics, Getulio Vargas Fndn."
848408,University College London,University Of Cambridge
42127,Peking University,Peking University
558022,Universidad De Chile,Universidad De Chile
724281,University Of Bergen,University Of Oslo
258034,People's University Of China,People's University Of China
921713,Indian Institute of Technology Delhi,University of London-London School of Economics & Political Sci
946913,National Taiwan University,Johns Hopkins University
175085,"University Of California, Berkeley","NA"
448971,Jilin University,University Of Wyoming
8370,University Of South Carolina,University Of South Carolina
205612,University Of Chicago,"NA"
528142,McGill University,University Of Toronto Schools
173443,Duke University,"NA"
878869,"NA","Imperial College Of Science, Technology & Medicine"
661671,University Of Wisconsin-Madison,"NA"
556125,Monash University,"NA"
107403,Universita Commerciale 'luigi Bocconi',Universita Commerciale 'luigi Bocconi'
109797,Wesleyan University,"NA"
527713,Universita Bocconi,Universita Bocconi
745430,State University - Higher School of Economics,State University - Higher School of Economics
606179,Nankai University,Columbia University
892543,Kenyon College,"NA"
490926,Shanghai University Of Finance And Economics,Duke University
404678,Cornell University,"NA"
68128,St. Vincent College,"NA"
605345,Swarthmore College,"NA"
872065,Sharif University of Technology,Sharif University of Technology
489381,Texas State University,"NA"
870573,Ryerson Polytechnic Institute,"NA"
644367,Shanghai Institute Of Foreign Trade,University Of Wisconsin--Madison
753619,Hong Kong University Of Science And Technology,"NA"
799364,New York University,"NA"
358625,INSPER (Institute of Education and Research),UFSCAR
722561,"University Of California, Berkeley",Seoul National University
814528,Open University Of Israel,Tel Aviv University
489061,Instituto Tecnologico Autonomo De Mexico,University of London-London School of Economics & Political Sci
261260,Smith College,"NA"
760947,Renmin University of China,Vanderbilt University
900235,Shri Ram College Of Commerce,University Of Warwick
71832,Yale University,"NA"
409836,University Of Chicago,"NA"
372850,University Of Hong Kong,University College London
762380,Universita Commerciale 'luigi Bocconi',Universita Commerciale 'luigi Bocconi'
552569,Seoul National University,University Of Chicago
724210,National Taiwan University,National Taiwan University
736806,Keio University,University Of Tokyo
354049,Stanford University,Stanford University
746266,"University Of California, Berkeley","NA"
215141,University Of Kansas,"NA"
49797,Georgetown University,University Of Chicago
600433,Princeton University,"NA"
478153,International Christian University,University Of Cambridge
905867,Universidad Carlos Iii De Madrid,"NA"
630534,Huaqiao University,Peking University
102016,Universidad Nacional Autonoma De Mexico,El Colegio De Mexico
924559,University College Utrecht (Utrecht University),University of London-London School of Economics & Political Sci
676231,University Of Minnesota-Morris,Johns Hopkins University
690270,Universidad De Buenos Aires,Universidad De San Andres
856863,Helsinki School Of Econ. & Business Administration,University Of Helsinki
992551,University of St. Andrews,University of London-London School of Economics & Political Sci
220077,Cornell University,"NA"
622453,University Of Arizona,"NA"
838378,University Of Manitoba,"NA"
711496,University Of Chicago,"NA"
263829,Princeton University,"NA"
333497,Hamilton College,"NA"
377181,University Of Massachusetts At Amherst,"NA"
942779,Universidad De Los Andes,Universidad De Los Andes
930026,Universitat Zurich,Stockholm School Of Economics
51672,"NA",New York University
541986,Pontificia Universidad Catolica Del Ecuador,Harvard University
607673,"University Of California, Berkeley","NA"
129946,Xian Jiaotong University,Syracuse University
588416,Occidental College,"NA"
873984,Duke University,"NA"
586686,University of Science and Technology of China,Peking University
693176,Universidad De Costa Rica,Instituto Tecnologico Autonomo de Mexico
995839,Beijing Forestry University,Xi`an Jiaotong University
440267,University Of Pennsylvania,"NA"
180089,Williams College,"NA"
811094,University Of Colorado At Denver,Duke University
75495,University Of Michigan--Ann Arbor,"NA"
261280,University Of Maryland At College Park (umcp),"NA"
623881,Ohio University,"NA"
894549,Peking University,"NA"
209176,Wuhan University,University College London
414528,University of Minnesota-Twin Cities,"NA"
167040,University of Minnesota-Twin Cities,"NA"
234043,Cornell University,"NA"
120345,Saint Louis University,"NA"
538288,Wellesley College,"NA"
5412,Fudan University,Duke University
193047,Oberlin College,"NA"
685853,Duke University,University Of Michigan--Ann Arbor
750398,University Of Wyoming,"NA"
771715,Indiana University Bloomington,"NA"
167071,Universita Bocconi,Universita Bocconi
146762,Pennsylvania State University,"NA"
771698,Seoul National University,"NA"
1764,University Of Hong Kong,"NA"
756523,Brigham Young University,"NA"
490850,Emory University,"NA"
176716,University Of North Carolina At Chapel Hill,"NA"
366996,Wuhan University,Duke University
805633,Mersin University,"NA"
471579,Universidad De Chile,Universidad De Chile
967022,Harvard College,University Of Cambridge-Trinity College
431818,La Trobe University,Tulane University
805601,Brigham Young University,"NA"
120266,Johns Hopkins University,Johns Hopkins University
418351,Brigham Young University,"NA"
276143,University Of Washington,"NA"
769492,Renmin University Of China In Beijing,"NA"
749385,Johns Hopkins University,"NA"
575122,Korea University,Korea Advanced Institute Of Science And Technology
56215,University Of Notre Dame,"NA"
639631,University Of Rochester,"NA"
678664,University Of Tokyo,University Of Chicago
823666,Michigan State University,"NA"
985740,Brigham Young University,"NA"
873529,Pennsylvania State University,"NA"
221837,Harvey Mudd College,"NA"
752506,Creighton University,"NA"
8949,Yale University,"NA"
880625,University Of Science And Technology Beijing,Peking University
673331,Massachusetts Institute of Technology,"NA"
734082,Tsinghua University,Stanford University
952382,St. Mary's College Of Maryland,"NA"
457880,California Institute Of Technology,"NA"
812217,Tsinghua University,"NA"
239725,Peking University,University of Minnesota-Twin Cities
897218,Columbia University,"NA"
133951,"Long Island University, C. W. Post Center","NA"
716960,Tsinghua University,"NA"
411391,University Of London-University College,University of London-London School of Economics & Political Sci
40062,University Of Durham,University Of Durham
449761,Athens School Of Economic And Business Sciences,Yale University
404228,Ohio State University,"NA"
493828,Universita Bocconi,London School of Economics
705856,University Of South Florida,Florida Atlantic University
19510,Boston University,Boston University
290161,University Of Central Florida,"NA"
328305,"University Of California, Los Angeles","California State University, Long Beach"
717006,Brigham Young University,"NA"
317738,University Of Mannheim,Boston University
51044,Virginia Polytechnic Institute and State University,"NA"
816458,National Taiwan University,"NA"
118990,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnologico Autonomo de Mexico
201361,College Of William And Mary In Virginia,"NA"
73621,Tsinghua University,"NA"
359126,University Of Kerala,Centre for Development Studies
458234,Princeton University,"NA"
398628,Brown University,"NA"
346126,Tsinghua University,Tsinghua University
472828,Trinity College,Universita Commerciale 'luigi Bocconi'
445011,"California State University, Fullerton","NA"
591633,Queen's University,"NA"
2192,Virginia Commonwealth University,"NA"
311946,Sharif University Of Technology,Sharif University Of Technology
996856,Suffolk University,Suffolk University
210426,Universidad De Chile,Universidad De Chile
706213,"University Of California, Berkeley","NA"
318600,Escola Politecnica da Universidade de Sao Paulo,University Of Sao Paulo
187658,Calvin College,"NA"
849428,Brown University,New York University
74796,Stanford University,"NA"
503996,Universidad Cristobal Colon,Centro De Investigacion Y Docenias Economicas
884638,University of Illinois at Urbana-Champaign,University Of Cambridge
692586,Mount Holyoke College,"NA"
41716,"University Of California, Berkeley",Harvard University
683553,University Of Hong Kong,New York University
730987,Princeton University,"NA"
381600,Soka University of America,Columbia University
335949,Humboldt University of Berlin,Humboldt University of Berlin
780011,Union College,"NA"
332091,Kansas State University,University Of Southern California
363560,Universita Degli Studi Di Modena,Katholieke Universiteit Leuven
883602,Dartmouth College,"NA"
58836,Northwestern University,"NA"
122277,MS Ramaiah institute Of Technology,"NA"
762903,College Of William And Mary In Virginia,"NA"
342383,University Of Chicago,"NA"
419162,Stanford University,DePaul University
568236,Brandeis University,"NA"
470313,Georgetown University,University Of Chicago
629939,Fudan University,"NA"
610286,Shanghai International Studies University,Osaka University
211898,Sciences Po: Institut D'etudes Politiques de Paris,Institut D'etudes Politiques
438472,Universita Bocconi,Universite Catholique de Louvain
17394,"NA",University Of Cambridge-Trinity College
867073,University Of Indonesia,Washington State University
