,newid,Institution of highest degree obtained,name
1159,952511,University of Minnesota Twin Cities,University of Minnesota
1160,881044,-,
1161,168506,-,
1162,382992,Università Commerciale 'Luigi Bocconi',Università Bocconi
1163,878007,-,
1164,612990,University of Wisconsin-Madison,University of Wisconsin - Madison
1165,740363,-,
1166,322858,University of Pennsylvania,University of Pennsylvania
1167,677538,"University of California, Berkeley","University of California, Berkeley"
1168,482116,London School of Economics and Political Science,"London School of Economics and Political Science, University of London"
1169,111257,Brown University,Brown University
1170,822966,University of Michigan,University of Michigan
1171,388217,New York University,New York University
1172,717881,-,
1173,727171,University of Southern California - Marshall School of Business,University of Southern California - Marshall School Of Business
1174,331771,University of Michigan Medical/Graduate School,University of Michigan - Medical School
1175,374813,University of Wisconsin-Madison,University of Wisconsin - Madison
1176,287896,Northwestern University,Northwestern University
1177,913609,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
1178,160933,University of Wyoming College of Business,University of Wyoming - College Of Business
1179,38878,-,
1180,737961,-,
1181,786383,-,
1182,344117,"University of California, Los Angeles","University of California, Los Angeles"
1183,821009,The University of Texas at Austin,University of Texas
1184,261438,Cornell University,Cornell University
1185,226192,NYU Stern School of Business,New York University - Stern School Of Business
1186,701082,Carnegie Mellon University - Tepper School of Business,Carnegie Mellon University - Tepper School Of Business
1187,314491,-,
1188,547467,Boston University,Boston University
1189,393750,University of Pennsylvania,University of Pennsylvania
1190,780663,-,
1191,426441,Harvard University,Harvard University
1192,372315,University of Michigan,University of Michigan
1193,211220,-,
1194,845942,"University of California, Berkeley, Haas School of Business","University of California, Berkeley - Haas School Of Business"
1195,317988,-,
1196,710405,Washington University in St. Louis,Washington University in St. Louis
1197,772351,University of Minnesota,University of Minnesota
1198,441071,-,
1199,379428,-,
1200,517440,Princeton University,Princeton University
1201,290129,New York University,New York University
1202,966537,Stanford University,Stanford University
1203,38716,Stanford University,Stanford University
1204,233625,Michigan State University,Michigan State University
1205,649380,University of Michigan,University of Michigan
1206,54340,-,
1207,47420,"University of Nevada, Reno",University of Nevada - Reno
1208,354045,Queen's University,Queen's University
1209,692192,Technical University Berlin,Technical University Berlin
1210,12488,Princeton University,Princeton University
1211,78991,-,
1212,949726,-,
1213,331866,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1214,832554,Tsinghua University,Tsinghua University
1215,841834,-,
1216,785276,-,
1217,148564,New York University,New York University
1218,683592,-,
1219,321199,"University of California, Berkeley","University of California, Berkeley"
1220,789860,Northern Illinois University,Northern Illinois University
1221,393671,-,
1222,966922,The University of British Columbia,University of British Columbia
1223,780470,Stanford University,Stanford University
1224,662435,Texas A&M University,Texas A&M University
1225,654653,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
1226,789497,Seoul National University,Seoul National University
1227,358967,Columbia University in the City of New York,Columbia University
1228,125659,"University of California, Berkeley","University of California, Berkeley"
1229,262228,University of Pennsylvania - The Wharton School,University of Pennsylvania - The Wharton School
1230,618306,-,
1231,296720,The Hong Kong University of Science and Technology,Hong Kong University of Science and Technology
1232,510314,-,
1233,279816,University of California San Diego,"University of California, San Diego"
1234,520357,-,
1235,521148,-,
1236,270753,University of Wisconsin-Madison,University of Wisconsin - Madison
1237,212011,-,
1238,766263,Columbia University - Columbia Business School,Columbia University - Business School
1239,828254,-,
1240,901985,-,
1241,836999,-,
1242,539095,-,
1243,82385,University of Oxford,University of Oxford
1244,895052,George Mason University,George Mason University
1245,64473,-,
1246,693448,-,
1247,77446,University of Pennsylvania,University of Pennsylvania
1248,592907,-,
1249,21714,Vanderbilt University,Vanderbilt University
1250,292675,-,
1251,709317,-,
1252,622863,University of Virginia,University of Virginia
1253,776313,-,
1254,951207,Stanford University,Stanford University
1255,146378,-,
1256,638877,-,
1257,882543,-,
1258,135949,DePaul University,DePaul University
1259,663582,MIT,Massachusetts Institute of Technology
1260,159749,Yale University,Yale University
1261,350715,University of Maryland,University of Maryland
1262,794676,University of Oxford (Lincoln College),University of Oxford - Lincoln College
1263,70129,-,
1264,383113,Paris School of Economics,Paris School of Economics
1265,908799,Northwestern University,Northwestern University
1266,654457,Duke University,Duke University
1267,695310,Princeton University,Princeton University
1268,722201,Queen Mary University of London,Queen Mary University of London
1269,641834,UNC Kenan-Flagler Business School,University of North Carolina - Kenanflagler Business School
1270,539798,Columbia University in the City of New York,Columbia University
1271,244238,New York University,New York University
1272,157775,Northwestern University,Northwestern University
1273,7670,Seoul National University,Seoul National University
1274,187793,University of Wisconsin-Madison,University of Wisconsin - Madison
1275,543777,Columbia Engineering,Columbia University - Engineering School
1276,380491,The Wharton School,University of Pennsylvania - The Wharton School
1277,146364,-,
1278,239477,Northwestern University,Northwestern University
1279,293398,-,
1280,65303,University of Southern California,University of Southern California
1281,675218,-,
1282,285282,University of Pennsylvania,University of Pennsylvania
1283,257039,-,
1284,758347,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1285,968411,-,
1286,325556,IPADE Business School,IPADE Business School
1287,444638,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1288,60415,University of Michigan,University of Michigan
1289,181230,-,
1290,678531,-,
1291,368734,UC Irvine,"University of California, Irvine"
1292,214290,Northwestern University - Kellogg School of Management,Northwestern University - Kellogg School Of Management
1293,742439,University of Milan-Bicocca,University of Milan - Bicocca
1294,533967,-,
1295,49315,Duke University,Duke University
1296,410087,-,
1297,528827,-,
1298,504996,-,
1299,196702,New York University,New York University
1300,196573,Sciences Po,Institut d'Etudes Politiques de Paris (Sciences Po)
1301,612329,Harvard University,Harvard University
1302,60639,-,
1303,938603,"Harvard University, John F. Kennedy School of Government",Harvard University - Kennedy School Of Government
1304,632365,-,
1305,622820,"University of California, Davis","University of California, Davis"
1306,659865,Stanford University Graduate School of Business,Stanford University - Graduate School Of Business
1307,772509,-,
1308,639740,Brown University,Brown University
1309,848549,-,
1310,420451,Northwestern University,Northwestern University
1311,966702,"University of California, Berkeley","University of California, Berkeley"
1312,192373,-,
1313,531178,Northwestern University,Northwestern University
1314,35487,Texas A&M University,Texas A&M University
1315,747568,-,
1316,146238,The University of Kansas,University of Kansas
1317,607540,Southern Methodist University - Cox School of Business,Southern Methodist University - Cox School Of Business
1318,708593,University of California,"University of California, Berkeley"
1319,74640,-,
1320,909135,-,
1321,835323,University of Pennsylvania,University of Pennsylvania
1322,552114,Instituto Tecnológico Autónomo de México,Instituto Tecnológico Autonómo de México
1323,281119,University of Michigan,University of Michigan
1324,169031,Georgetown University,Georgetown University
1325,563513,University of Michigan,University of Michigan
1326,842092,-,
1327,403728,-,
1328,403138,Harvard University,Harvard University
1329,810654,-,
1330,174902,Duke University,Duke University
1331,978654,University of Oxford,University of Oxford
1332,842525,University of Maryland College Park,University of Maryland
1333,739763,Cornell University,Cornell University
1334,598080,-,
1335,585017,"University of California, Los Angeles","University of California, Los Angeles"
1336,159623,Rockhurst University,Rockhurst University
1337,971317,University of Illinois Urbana-Champaign,University of Illinois at Urbana-Champaign
1338,901260,Stanford University,Stanford University
1339,313089,George Mason University,George Mason University
1340,423468,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
1341,410150,"University of California, Santa Cruz","University of California, Santa Cruz"
1342,147622,-,
1343,745800,New York University,New York University
1344,401365,"University of California, Santa Barbara","University of California, Santa Barbara"
1345,911040,Boston College Law School,Boston College - Law School
1346,454968,-,
1347,906283,-,
1348,400084,University of Michigan - Stephen M. Ross School of Business,University of Michigan - Stephen M Ross School Of Business
1349,567314,-,
1350,955159,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1351,161207,-,
1352,578005,University of Minnesota,University of Minnesota
1353,992368,Caltech,California Institute of Technology
1354,260065,-,
1355,970629,Rutgers University–New Brunswick,Rutgers University
1356,906236,Pierre and Marie Curie University,Université Pierre et Marie Curie (Paris VI)
1357,763341,Pennsylvania State University,Pennsylvania State University
1358,316048,"University of California, Los Angeles","University of California, Los Angeles"
1359,286781,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1360,419122,The Johns Hopkins University,Johns Hopkins University
1361,922477,-,
1362,79787,The Chinese University of Hong Kong,Chinese University of Hong Kong
1363,735094,Princeton University,Princeton University
1364,634246,UC San Diego,"University of California, San Diego"
1365,732152,-,
1366,522133,Yonsei University,Yonsei University
1367,676474,-,
1368,877451,University of Massachusetts Amherst,University of Massachusetts at Amherst
1369,219650,Fielding Graduate University,Fielding Graduate University
1370,365476,Princeton University,Princeton University
1371,623184,MIT Sloan School of Management,Massachusetts Institute of Technology - Sloan School Of Management
1372,261662,-,
1373,222445,University of Wisconsin-Madison,University of Wisconsin - Madison
1374,365203,"University of California, Santa Barbara","University of California, Santa Barbara"
1375,462053,-,
1376,212983,The Johns Hopkins University - Carey Business School,Johns Hopkins University - Carey Business School
1377,844808,Columbia University in the City of New York,Columbia University
1378,487399,University of Oregon,University of Oregon
1379,682906,New York University,New York University
1380,876241,Columbia University - Columbia Business School,Columbia University - Business School
1381,43209,Harvard Kennedy School,Harvard University - Kennedy School
1382,115964,-,
1383,222770,Indiana University Bloomington,Indiana University at Bloomington
1384,369284,London School of Economics and Political Science,"London School of Economics and Political Science, University of London"
1385,10051,Columbia University in the City of New York,Columbia University
1386,303028,-,
1387,566374,-,
1388,834821,Stanford University,Stanford University
1389,874161,UCL,University College London
1390,216020,-,
1391,927687,-,
1392,815370,"University of California, Berkeley","University of California, Berkeley"
1393,621256,Columbia University,Columbia University
1394,172664,-,
1395,28389,-,
1396,623272,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
1397,421842,University of Washington,University of Washington
1398,896261,Duke University - The Fuqua School of Business,Duke University - The Fuqua School Of Business
1399,321583,London Business School,London Business School
1400,845870,New York University,New York University
1401,597763,UNIVERSITY OF CALIFORNIA – BERKELEY,"University of California, Berkeley"
1402,693102,-,
1403,305236,University of Delaware,University of Delaware
1404,975766,Cornell University,Cornell University
1405,795011,Princeton University,Princeton University
1406,140243,Imperial College London,Imperial College London
1407,899980,Columbia University - Columbia Business School,Columbia University - Business School
1408,308578,-,
1409,423750,-,
1410,663401,-,
1411,184991,Stanford University,Stanford University
1412,3635,-,
1413,200992,Harvard University,Harvard University
1414,180294,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
1415,188956,Harvard University,Harvard University
1416,304957,-,
1417,766383,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1418,990101,University of Zurich,University of Zürich
1419,492708,University of Toronto,University of Toronto
1420,116738,-,
1421,380823,Columbia University in the City of New York,Columbia University
1422,380236,"University of California, Los Angeles","University of California, Los Angeles"
1423,96245,Princeton University,Princeton University
1424,347140,Stanford University,Stanford University
1425,276283,"University of California, San Diego","University of California, San Diego"
1426,231938,-,
1427,891766,University of Wisconsin-Madison,University of Wisconsin - Madison
1428,934453,-,
1429,848408,-,
1430,397344,University of Michigan,University of Michigan
1431,63552,Cornell University,Cornell University
1432,124442,"University of California, Davis","University of California, Davis"
1433,775069,"CFA Institute, The Global Association of Investment Professionals","CFA Institute, The Global Association of Investment Professionals"
1434,724787,Duke University,Duke University
1435,268259,Princeton University,Princeton University
1436,980371,-,
1437,458387,-,
1438,605643,University of Pennsylvania,University of Pennsylvania
1439,49909,Stanford University,Stanford University
1440,241268,-,
1441,78042,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
1442,381254,Northwestern University,Northwestern University
1443,680529,Maastricht University School of Business and Economics,University of Maastricht - School Of Business And Economics
1444,433875,-,
1445,170732,London School of Economics and Political Science,"London School of Economics and Political Science, University of London"
1446,310907,-,
1447,77816,-,
1448,921709,Columbia Business School,Columbia University - Business School
1449,636311,-,
1450,626650,-,
1451,462548,-,
1452,39275,Paris 1 Panthéon-Sorbonne University,Université Panthéon-Sorbonne (Paris I)
1453,618990,-,
1454,595682,-,
1455,270581,Northwestern University,Northwestern University
1456,295604,The Ohio State University,Ohio State University
1457,574004,Harvard University,Harvard University
1458,593977,-,
1459,410315,UC Irvine,"University of California, Irvine"
1460,342313,-,
1461,904470,"University of California, Berkeley","University of California, Berkeley"
1462,130526,-,
1463,609850,Cornell University,Cornell University
1464,354305,Johannes Gutenberg University Mainz,Johannes-Gutenberg Universität Mainz
1465,311060,Rutgers University,Rutgers University
1466,787163,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1467,515076,-,
1468,114820,-,
1469,601157,-,
1470,543865,-,
1471,546867,Harvard University,Harvard University
1472,931562,University of Minnesota,University of Minnesota
1473,670205,Santa Barbara City College,Santa Barbara City College
1474,610123,-,
1475,314132,-,
1476,843002,Columbia University in the City of New York,Columbia University
1477,240539,-,
1478,424370,The George Washington University,George Washington University
1479,660895,The University of Chicago,University of Chicago
1480,320461,Princeton University,Princeton University
1481,986726,-,
1482,863209,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1483,496751,Georgetown University,Georgetown University
1484,513743,Université Paris-Saclay,Université Paris-Saclay
1485,556121,"University of California, Irvine","University of California, Irvine"
1486,797160,-,
1487,344317,-,
1488,175933,Vanderbilt University,Vanderbilt University
1489,620225,University of Michigan,University of Michigan
1490,873808,Stanford University,Stanford University
1491,441466,Seoul National University,Seoul National University
1492,266273,-,
1493,435797,"University of California, Berkeley","University of California, Berkeley"
1494,352962,University of Cincinnati College of Business,University of Cincinnati - College Of Business
1495,596171,UCL,University College London
1496,70627,Fundação Getulio Vargas,Fundação Getulio Vargas
1497,930534,Northwestern University,Northwestern University
1498,787199,-,
1499,290912,"University of California, Berkeley","University of California, Berkeley"
1500,836400,Stanford University,Stanford University
1501,303857,University of Michigan,University of Michigan
1502,966750,University of California - Los Angeles,"University of California, Los Angeles"
1503,16862,Columbia University in the City of New York,Columbia University
1504,718970,Harvard University,Harvard University
1505,985052,The George Washington University,George Washington University
1506,327970,The University of Texas at Austin,University of Texas
1507,467041,Indiana University Bloomington,Indiana University at Bloomington
1508,295868,-,
1509,287380,Tilburg University,Tilburg University
1510,475690,Harvard University,Harvard University
1511,501477,"University of California, Berkeley","University of California, Berkeley"
1512,971786,Aalto University,Aalto University
1513,503251,Toulouse School of Economics,Toulouse School of Economics
1514,398198,New York University,New York University
1515,377112,Rice University,Rice University
1516,386595,-,
1517,83529,"University of California, Berkeley","University of California, Berkeley"
1518,671179,University of Geneva,University of Geneva
1519,360508,Princeton University,Princeton University
1520,317744,Columbia University - Columbia Business School,Columbia University - Business School
1521,788371,Universitat Pompeu Fabra,Universitat Pompeu Fabra
1522,893623,-,
1523,754696,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1524,560687,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
1525,572245,University of Southern California,University of Southern California
1526,428346,New York University,New York University
1527,38225,Penn State University,Pennsylvania State University
1528,425070,Duke University,Duke University
1529,514506,-,
1530,987657,-,
1531,878283,Columbia University in the City of New York,Columbia University
1532,285183,University of Minnesota,University of Minnesota
1533,313073,The Pennsylvania State University,Pennsylvania State University
1534,179864,-,
1535,432085,Instituto Tecnológico Autónomo de México,Instituto Tecnológico Autonómo de México
1536,549467,UCL,University College London
1537,971199,-,
1538,444832,-,
1539,345186,Vanderbilt University,Vanderbilt University
1540,313454,Supply Chain Management,Supply Chain Management
1541,336932,-,
1542,226141,Arizona State University,Arizona State University
1543,522227,NYU Stern School of Business,New York University - Stern School Of Business
1544,421124,University of Maryland College Park,University of Maryland
1545,685259,University of Pennsylvania - The Wharton School,University of Pennsylvania - The Wharton School
1546,73140,University of Minnesota,University of Minnesota
1547,621053,-,
1548,814607,-,
1549,397841,Harvard University,Harvard University
1550,969447,Columbia University in the City of New York,Columbia University
1551,826463,The University of Texas at Austin,University of Texas
1552,365017,-,
1553,688520,University of Minnesota-Twin Cities,University of Minnesota
1554,586126,NYU Stern School of Business,New York University - Stern School Of Business
1555,363002,University of California Los Angeles (Anderson School),"University of California, Los Angeles - Anderson School Of Management"
1556,63298,-,
1557,906389,University of Pennsylvania,University of Pennsylvania
1558,515669,Texas Tech University,Texas Tech University
1559,983285,-,
1560,954271,University of Wisconsin-Madison,University of Wisconsin - Madison
1561,309727,"University of California, Berkeley","University of California, Berkeley"
1562,880586,London School of Economics and Political Science,"London School of Economics and Political Science, University of London"
1563,474,Stanford University,Stanford University
1564,798937,"University of California, Berkeley","University of California, Berkeley"
1565,405506,-,
1566,471130,-,
1567,523976,Columbia University in the City of New York,Columbia University
1568,930691,-,
1569,578854,University of Maryland,University of Maryland
1570,178131,Northwestern University,Northwestern University
1571,342210,Harvard University,Harvard University
1572,750767,Yale University,Yale University
1573,645898,-,
1574,680139,Yale University,Yale University
1575,479060,University of Pennsylvania - The Wharton School,University of Pennsylvania - The Wharton School
1576,10168,Stanford University,Stanford University
1577,942688,New York University Stern School  of Business,New York University - Stern School Of Business
1578,943991,The London School of Economics and Political Science (LSE),"London School of Economics and Political Science, University of London"
1579,673939,NYU Stern School of Business,New York University - Stern School Of Business
1580,224855,-,
1581,143356,The Ohio State University,Ohio State University
1582,161659,Renmin University of China,Renmin University of China
1583,373584,-,
1584,19901,-,
1585,995232,University of Washington,University of Washington
1586,157727,-,
1587,666645,-,
1588,323908,Boston University,Boston University
1589,687870,-,
1590,728833,-,
1591,523208,New York University,New York University
1592,731113,-,
1593,758102,Florida State University,Florida State University
1594,878083,Columbia University in the City of New York,Columbia University
1595,807763,University of Cambridge,University of Cambridge
1596,836504,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1597,53392,Columbia University,Columbia University
1598,278594,-,
1599,688724,Stanford University,Stanford University
1600,56003,Harvard University,Harvard University
1601,899938,-,
1602,622540,University of Virginia,University of Virginia
1603,412842,Georgetown University,Georgetown University
1604,648915,-,
1605,332568,University of North Carolina at Chapel Hill,University of North Carolina
1606,137517,Universitat Pompeu Fabra,Universitat Pompeu Fabra
1607,893220,University of Pennsylvania,University of Pennsylvania
1608,887011,University of Toronto,University of Toronto
1609,786641,-,
1610,963780,NYU Stern School of Business,New York University - Stern School Of Business
1611,601808,-,
1612,668476,University of Utah - David Eccles School of Business,University of Utah - David Eccles School Of Business
1613,481044,-,
1614,621222,Harvard University,Harvard University
1615,578343,Boston University,Boston University
1616,397594,Harvard University,Harvard University
1617,164134,University of Notre Dame,University of Notre Dame
1618,182374,West Virginia University,West Virginia University
1619,714206,University of Michigan School of Public Health,University of Michigan - School Of Public Health
1620,286423,-,
1621,722083,Boston University,Boston University
1622,828260,Carnegie Mellon University,Carnegie Mellon University
1623,482942,Washington University in St. Louis,Washington University in St. Louis
1624,760414,-,
1625,257435,-,
1626,447527,European University Institute,European University Institute
1627,953266,University of Southern California - Marshall School of Business,University of Southern California - Marshall School Of Business
1628,144436,"University of California, Berkeley","University of California, Berkeley"
1629,382662,"University of California, Berkeley - School of Law","University of California, Berkeley - School Of Law"
1630,975494,Syracuse University,Syracuse University
1631,365059,-,
1632,63673,University of California,"University of California, Berkeley"
1633,576973,London School of Economics,"London School of Economics and Political Science, University of London"
1634,367011,University of Pennsylvania,University of Pennsylvania
1635,774553,-,
1636,479056,-,
1637,847258,"University of California, Los Angeles","University of California, Los Angeles"
1638,823416,Indira Gandhi National Open University,Indira Gandhi National Open University
1639,892752,University of Southern California,University of Southern California
1640,625451,The Ohio State University,Ohio State University
1641,245925,"University of California, San Diego","University of California, San Diego"
1642,678211,-,
1643,569716,The Wharton School,University of Pennsylvania - The Wharton School
1644,777127,-,
1645,639550,Duke University,Duke University
1646,133616,Columbia University,Columbia University
1647,162932,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1648,653441,London School of Economics,"London School of Economics and Political Science, University of London"
1649,32848,Stanford University,Stanford University
1650,525009,-,
1651,320559,University of Chicago,University of Chicago
1652,24456,-,
1653,994245,"University of California, Berkeley","University of California, Berkeley"
1654,499308,-,
1655,392500,Northwestern University,Northwestern University
1656,826977,Columbia University in the City of New York,Columbia University
1657,469597,-,
1658,314257,Duke University,Duke University
1659,819542,Princeton University,Princeton University
1660,504821,-,
1661,170945,University of Virginia,University of Virginia
1662,357384,UT Health San Antonio,University of Texas at San Antonio - School Of Health
1663,774279,Rice University,Rice University
1664,996031,Université Lumière Lyon 2,Université Lumière Lyon 2
1665,406740,Princeton University,Princeton University
1666,823207,-,
1667,415798,Indiana University,Indian University
1668,280927,Columbia University,Columbia University
1669,643314,University of Michigan,University of Michigan
1670,882114,University of York,University of York
1671,502511,Washington University in St. Louis,Washington University in St. Louis
1672,320304,-,
1673,647692,Monash University,Monash University
1674,25025,Harvard University,Harvard University
1675,370420,Yale University,Yale University
1676,359467,-,
1677,246744,-,
1678,533626,University of Cambridge,University of Cambridge
1679,712319,-,
1680,181183,Stanford University,Stanford University
1681,449286,University of Chicago Law School,University of Chicago - Law School
1682,208227,University of Rochester,University of Rochester
1683,740521,University of Oxford,University of Oxford
1684,632500,London School of Economics,"London School of Economics and Political Science, University of London"
1685,623344,London Business School,London Business School
1686,798000,Cornell University,Cornell University
1687,996025,-,
1688,788321,Saint Louis University,Saint Louis University
1689,239128,-,
1690,135606,"University of California, Berkeley","University of California, Berkeley"
1691,602549,Harvard University,Harvard University
1692,862205,The Hong Kong University of Science and Technology,Hong Kong University of Science and Technology
1693,476451,The University of Toledo,University of Toledo
1694,859773,The University of Iowa Tippie College of Business,University of Iowa - Tippie College Of Business
1695,462872,-,
1696,577279,The Ohio State University,Ohio State University
1697,509177,University of Wisconsin-Madison,University of Wisconsin - Madison
1698,176690,-,
1699,115363,UC Santa Barbara,"University of California, Santa Barbara"
1700,205777,University of Toronto - Rotman School of Management,University of Toronto - Rotman School Of Management
1701,807022,European University Institute,European University Institute
1702,3088,Northwestern University,Northwestern University
1703,279995,Monash University,Monash University
1704,143698,HKUST Business School,Hong Kong University of Science and Technology - Business School
1705,881533,Smith School of Business at Queen's University,Queen's University - Smith School Of Business
1706,249981,"University of California, Los Angeles","University of California, Los Angeles"
1707,791039,-,
1708,806795,University of London,University of London
1709,99467,-,
1710,695066,-,
1711,828274,NYU Stern School of Business,New York University - Stern School Of Business
1712,250647,-,
1713,343010,Massachusetts Institute of Technology,Massachusetts Institute of Technology
1714,680043,Yale University,Yale University
1715,859603,Columbia University in the City of New York,Columbia University
1716,956794,-,
1717,7307,"University of California, Berkeley","University of California, Berkeley"
1718,989601,-,
1719,172785,Northwestern University,Northwestern University
1720,512952,-,
1721,134322,-,
1722,728838,The University of Chicago Booth School of Business,University of Chicago - Booth School Of Business
1723,60229,Stanford University,Stanford University
1724,641111,Northwestern University - Kellogg School of Management,Northwestern University - Kellogg School Of Management
1725,536638,Yale University,Yale University
1726,512756,University of Michigan,University of Michigan
1727,743896,Yale University,Yale University
1728,909796,Columbia University,Columbia University
1729,433987,-,
1730,79311,University of Pennsylvania,University of Pennsylvania
1731,186769,Stanford University,Stanford University
1732,974476,Michigan State University,Michigan State University
1733,186426,University of Wisconsin-Madison,University of Wisconsin - Madison
1734,835183,The Australian National University,Australian National University
1735,341656,-,
1736,584928,University of Virginia,University of Virginia
1737,518753,University of Oxford,University of Oxford
1738,415572,-,
1739,498724,-,
1740,866087,University of Michigan - Stephen M. Ross School of Business,University of Michigan - Stephen M Ross School Of Business
1741,105656,European Academy,European Academy of Arts in Warsaw
1742,921170,Vanderbilt University,Vanderbilt University
1743,849087,-,
1744,786610,Bilkent University,Bilkent University
1745,141539,University of Minnesota Law School,University of Minnesota - Law School
1746,136547,-,
